code,name_latin,name_en,name_fr
246,Carcharhinus obscurus,Dusky shark,Requin obscur
247,Harriotta raleighana,Longnose chimera,Chim_re-spatule
248,Rhinochimaera atlantica,Knifenose chimera,Chim_re-couteau
249,Acipenser brevirostrum,Shortnose sturgeon,Esturgeon … museau court
250,Lepisosteus osseus,Longnose gar,L‚pisoste osseux
251,Gadidae f.,Gadoids (cod),Gadid‚s
252,Lampanyctus sp.,Lampanyctus sp.,Lampanyctus sp.
253,Groundfish (ns),Groundfish (ns),Poisson de fond (ns)
254,Anchoa mitchilli,Bay anchovy,Anchois
255,Istiophorus platypterus,Sailfish,Voilier atlantique
256,Pelagic fish (ns),Pelagic fish (ns),Poisson p‚lagique (ns)
257,Seriola sp.,Amberjacks,S‚rioles
258,Micropogonias undulatus,Atlantic croaker,Grogneur atlantique
259,Strongylura marina,Atl needlefish,Strongylura marina
260,Opisthonema oglinum,Atl thread herring,Opisthonema oglinum
261,Trachinotus carolinus,Common pompano,Trachinotus carolinus
262,Dorosoma cepedianum,Gizzard shad,Alose … g‚sier
263,Pomadasyidae f.,Grunts (grunters),Pomadasyidae f.
264,Alosa mediocris,Hickory shad,Alose hickory
265,Mugilidae f.,Mullets,Muges
266,Orthopristis chrysoptera,Pigfish,Orthopristis chrysoptera
267,Sciaenops ocellatus,Red drum,Tambour rouge
268,Pagrus  pagrus,Red porgy,Pagre commun
269,Trachurus lathami,Rough shad,Chinchard rude
270,Leiostomus xanthurus,Spot croaker,Spot
271,Cynoscion nebulosus,Spotted weakfish,Acoupa tachet‚
272,Acipenseridae f.,Sturgeons,Esturgeons
273,Salmo sp.,Trouts,Saumons atlantiques
274,Squalidae f.,Dogfishes (ns),Aiguillat
275,Selachii (chondrichthyes) c.,Cartilaginous fishes,Poissons cartilagineux
276,Bathylagidae f.,Deepsea smelts (ns),Garcettes
277,Trichopsetta sp.,Trichopsetta sp.,Trichopsetta sp.
278,Scorpaena sp.,Rockfishes (ns),Scorpaena sp.
279,Symbolophorus sp.,Symbolophorus sp.,Symbolophorus sp.
280,Scorpaenidae f.,Scorpionfishes,Scorp_nes
281,Alosa sp.,Alosa sp.,Alosa sp.
282,Syacium micrurum,Channel flounder,Fausse limande pat‚e
283,Sebastes fasciatus,Labrador redfish,S‚baste du Labrador
284,Lampanyctus ater,Lampanyctus ater,Lampanyctus ater
285,Naucrates sp.,Naucrates sp.,Naucrates sp.
286,Benthosema sp.,Benthosema sp.,Benthosema sp.
287,Notoscopelus bolini,Notoscopelus bolini,Notoscopelus bolini
288,Argentinidae f.,Argentines (ns),Argentines
289,Caulolatilus sp.,Caulolatilus sp.,Caulolatilus sp.
290,Clupeidae/osmeridae f.,Herring/capelin like,Clupeidae/osmeridae f.
291,Bathylagus compsus,Bathylagus compsus,Garcette ‚toil‚e
292,Bolinichthys photothorax,Bolinichthys photothorax,Lanterne … joues ‚pin‚es
293,Ceratoscopelus sp.,Ceratoscopelus sp.,Ceratoscopelus sp.
294,Salmoniformes o.,Salmoniformes o.,êperlans et saumons
295,Bathylagus sp.,Bathylagus,Garcettes
296,Gempylidae f.,Snake mackerels (ns),Escolars
297,Svetovidovia sp.,Svetovidovia sp.,Svetovidovia sp.
298,Lophiiformes o.,Lophiiformes,Baudroies
299,Scorpaeniformes (order),Scorpaeniformes (order),Scorp_nes
300,Myoxocephalus octodecemspinosus,Longhorn sculpin,Chaboisseau … dix-huit-‚pines
301,Myoxocephalus scorpius,Shorthorn sculpin,Chaboisseau … ‚pines courtes
302,Gymnocanthus tricuspis,Arctic staghorn sculpin,Tricorne arctique
303,Myoxocephalus aeneus,Grubby(little),Chaboisseau bronz‚
304,Triglops murrayi,Moustache / mailed sculpin,Faux-trigle arm‚
305,Triglops nybelini,Bigeye sculpin,Faux-trigle … grands yeux
306,Artediellus uncinatus,Arctic hookear sculpin,Hame‡on neigeux
307,Cottunculus microps,Polar sculpin,Cotte polaire
308,Cottunculus thompsoni,Pallid sculpin,Cotte bl_me
309,Triglops sp.,Sculpin (ns),Faux-trigle sp.
310,Myoxocephalus sp.,Sculpin,Chaboisseau sp.
311,Cottidae f. Unid.,Sculpin unidentified,Cottidae f. Unid.
312,Cottidae f.,Sculpins,Chaboisseaux (Cottid‚s)
313,Icelus bicornis,Twohorn sculpin,Ic_le … deux cornes
314,Icelus spatula,Spatulate sculpin,Ic_le spatul‚e
315,Myoxocephalus quadricornis,Fourhorn sculpin,Chaboisseau quatre-cornes
316,Myoxocephalus scorpioides,Arctic sculpin,Chaboisseau arctique
317,Triglops pingeli,Ribbed sculpin,Faux-trigle bard‚
318,Icelus sp.,Sculpin,Ic_les
319,Laemonema barbatula,Laemonema barbatula,More … petites ‚cailles
320,Hemitripterus americanus,Sea raven,H‚mitript_re atlantique
321,Thunnus sp.,Thunnus sp.,Thunnus sp.
322,Cyclothone pseudopallida,Cyclothone pseudopallida,Cyclothone pseudopallida
323,Artediellus sp.,Hookear sculpin unspecified,Hame‡ons
324,Monolene antillarum,Monolene antillarum,Monolene antillarum
325,Engyophrys senta,Engyophrys senta,Engyophrys senta
326,Sparidae f.,Porgies (ns),Spares
327,Myctophum asperum,Myctophum asperum,Myctophum asperum
328,Chaetodontidae f.,Butterflyfishes (ns),Poissons-papillon
329,Triglidae f.,Searobins,Trigles
330,Prionotus carolinus,"Northern,common searobin",Prionote du nord
331,Peristedion miniatum,Armored sea robin,Prionote … cuirasse
332,Prionotus evolans,Striped searobin,Prionote stri‚
333,Trichopsetta orbisulcus,Trichopsetta orbisulcus,Trichopsetta orbisulcus
334,Chauliodus danae,Chauliodus danae,Chauliode de Dana
335,Chauliodus sp.,Chauliodus sp.,Chauliodus sp.
336,Clupeidae f.,Herring (ns),Harengs
337,Osmeridae f.,"Smelts,capelin (ns)",êperlans
338,Aristostomias sp.,Aristostomias sp.,Aristostomias sp.
339,Synodontidae f.,Lizardfishes,Poissons-l‚zard
340,Aspidophoroides monopterygius,Alligatorfish,Poisson-alligator atlantique
341,Uleina olrikii,Arctic alligatorfish,Poisson-alligator arctique
342,Hygophum reinhardtii,Hygophum reinhardtii,Hygophum reinhardtii
343,Lampadena sp.,Lampadena sp.,Lampadena sp.
344,Etropus crossotus,Fringed flounder,Etropus crossotus
345,Cyclopsetta fimbriata,Spotfin flounder,Cyclopsetta fimbriata
346,Pleuronectiformes o.,Flatfish,Poissons-plats
347,Bathylagus greyae,Bathylagus greyae,Bathylagus greyae
348,Vinciguerria sp.,Vinciguerria sp.,Vinciguerria sp.
349,Elops saurus,Ladyfish,Elops saurus
350,Leptagonus decagonus,Atlantic sea poacher,Agone atlantique
351,Agonidae f.,Alligator fish (ns),Poissons-alligators (Agonid‚s)
352,Priacanthidae f.,Bigeyes (ns),Priacanthes
353,Priacanthus arenatus,Bigeye,Priacanthus arenatus
354,Brosmiculus imberbis,Brosmiculus imberbis,Brosmiculus imberbis
355,Regalecus glesne,Regalecus glesne,Regalecus glesne
356,Rondeletia loricata,Rondeletia loricata,Poisson-baleine diable
357,Melanonus zugmayeri,Melanonus zugmayeri,Melanonus zugmayeri
358,Trachyscorpia cristulata,Atlantic thornyhead,Trachyscorpia cristulata
359,Diplospinus multistriatus,Diplospinus multistriatus,Diplospinus multistriatus
360,Gasterosteidae f.,Stickleback unidentified,êpinoches
361,Gasterosteus aculeatus aculeatus,Threespine stickleback,êpinoche … trois ‚pines
362,Pungitius pungitius,Ninespine stickleback,êpinoche … neuf ‚pines
363,Apeltes quadracus,Fourspine stickleback,êpinoche … quatre ‚pines
364,Gasterosteus wheatlandi,Blackspotted stickleback,êpinoche tachet‚e
365,Bregmaceros atlanticus,Bregmaceros atlanticus,Bregmaceros atlanticus
366,Antigonia combatia,Shortspine boarfish,Antigonia combatia
367,Diodon holocanthus,Ballonfish,Poisson ballon
368,Melamphaes pumilus,Melamphaes pumilus,Melamphaes pumilus
369,Chlopsis sp.,Chlopsis sp.,Chlopsis sp.
370,Myctophum sp.,Myctophum sp.,Lanternes m‚talliques
371,Hemipteronotus sp.,Hemipteronotus sp.,Hemipteronotus sp.
372,Thalassoma bifasciatum,Thalassoma bifasciatum,Thalassoma bifasciatum
373,Melanocetus sp.,Melanocetus sp.,Melanocetus sp.
374,Hemanthias sp.,Hemanthias sp.,Hemanthias sp.
375,Antennarius sp.,Antennarius sp.,Antennarius sp.
376,Polyipnus sp.,Polyipnus sp.,Polyipnus sp.
377,Decapterus sp.,Decapterus sp.,Decapterus sp.
378,Glossanodon sp.,Glossanodon sp.,Glossanodon sp.
379,Cyclopsetta sp.,Cyclopsetta sp.,Cyclopsetta sp.
380,Holocanthus sp.,Holocanthus sp.,Holocanthus sp.
381,Symphysanodon sp.,Symphysanodon sp.,Symphysanodon sp.
382,Monolene sp.,Monolene sp.,Monolene sp.
383,Evermanella balboa,Evermanella balboa,Dent-de-sabre rose
384,Antigonia capros,Deepbody boarfish,Antigonia capros
385,Monolene sessilicauda,Deepwater flounder,Monolene sessilicauda
386,Etropus microstomus,Smallmouth flounder,Etropus microstomus
387,Citharichthys cornutus,Horned whiff,Citharichthys cornutus
388,Citharichthys gymnorhinus,Citharichthys gymnorhinus,Citharichthys gymnorhinus
389,Ichthyococcus ovatus,Ichthyococcus ovatus,Ichthyococcus ovatus
390,Margrethia obtusirostra,Margrethia obtusirostra,Margrethia obtusirostra
391,Flagellostomias boureei,Flagellostomias boureei,Flagellostomias boureei
392,Chirostomias pliopterus,Chirostomias pliopterus,Chirostomias pliopterus
393,Eustomias bigelowi,Eustomias bigelowi,Eustomias bigelowi
394,Eustomias lipochirus,Eustomias lipochirus,Eustomias lipochirus
395,Macrostomias longibarbatus,Macrostomias longibarbatus,Macrostomias longibarbatus
396,Photostomias guernei,Photostomias guernei,Photostomias guernei
397,Antennarius ocellatus,Ocellated frogfish,Antennarius ocellatus
398,Antennariidae f.,Frogfishes (ns),Sargassiers
399,Histrio histrio,Sargassumfish,Sargassier
400,Lophius americanus,"Monkfish,goosefish,angler",Baudroie d'Am‚rique
401,Ceratias holboelli,Deepsea angler,Grand pˆcheur abyssal
402,Cryptopsaras couesi,Triplewart seadevil,Petit pˆcheur abyssal
403,Himantolophus groenlandicus,Atlantic footballfish,Football atlantique
404,Himantolophus sp.,Himantolophus sp.,Himantolophus sp.
405,Caulophryne jordani,Caulophryne jordani,Caulophryne jordani
406,Linophryne algibarbata,Linophryne algibarbata,Linophryne algibarbata
407,Linophryne coronata,Linophryne coronata,Linophryne coronata
408,Linophryne lucifera,Linophryne lucifera,Linophryne lucifera
409,Malacocephalus occidentalis,American straptail grenadier,Queue-de-rat d'Am‚rique
410,Nezumia bairdii,Marlin-spike grenadier,Grenadier du grand banc
411,Macrourus berglax,Roughhead grenadier,Grenadier berglax
412,Trachyrhynchus murrayi,Roughnose grenadier,Grenadier-scie
413,Coelorhynchus carminatus,Longnose grenadier,Grenadier … long nez
414,Coryphaenoides rupestris,Rock grenadier(roundnose),Grenadier de roche
415,Caulophrynidae f.,Caulophrynidae,Caulophrynidae f.
416,Macrouridae f.,Grenadiers (ns),Grenadier sp.
417,Heterophotus sp.,Heterophotus sp.,Heterophotus sp.
418,Gigantactis sp.,Gigantactis sp.,Gigantactis sp.
419,Photonectes margarita,Photonectes margarita,Photonectes margarita
420,Gerreidae f.,Mojarra (ns),Gerreidae f.
421,Microstoma microstoma,Microstoma microstoma,Microstoma microstoma
422,Argyropelecus affinis,Argyropelecus affinis,Argyropelecus affinis
423,Diaphus lucidus,Diaphus lucidus,Diaphus lucidus
424,Diaphus garmani,Diaphus garmani,Diaphus garmani
425,Muraenidae f.,"Eels,moray (ns)",Mur_nes
426,Anarchias yoshiae,Pygmy moray,Anarchias yoshiae
427,Gymnothorax sp.,Gymnothorax sp.,Gymnothorax sp.
428,Diaphus brachycephalus,Diaphus brachycephalus,Diaphus brachycephalus
429,Congridae f.,"Eels,conger",Congres
430,Ariosoma sp.,Ariosoma sp.,Ariosoma sp.
431,Conger sp.,Conger sp.,Conger sp.
432,Hildebrandia sp.,Hildebrandia sp.,Hildebrandia sp.
433,Nystactichthys sp.,Nystactichthys sp.,Nystactichthys sp.
434,Paraconger sp.,Paraconger sp.,Paraconger sp.
435,Pseudophichthus splendens,Pseudophichthus splendens,Pseudophichthus splendens
436,Rhechias sp.,Rhechias sp.,Rhechias sp.
437,Uroconger sp.,Uroconger sp.,Uroconger sp.
438,Uroconger syringinus,Uroconger syringinus,Uroconger syringinus
439,Diaphus splendidus,Diaphus splendidus,Diaphus splendidus
440,Ophichthidae f.,Snake eels (ns),Serpents de mer
441,Ahlia egmontis,Ahlia egmontis,Ahlia egmontis
442,Apterichtus ansp,Academy eel,Apterichtus ansp
443,Apterichtus kendalli,Finless eel,Apterichtus kendalli
444,Bascanichthys bascanium,Bascanichthys bascanium,Bascanichthys bascanium
445,Callechelys sp.,Callechelys sp.,Callechelys sp.
446,Callechelys muraena,Callechelys muraena,Callechelys muraena
447,Echiophis sp.,Echiophis sp.,Echiophis sp.
448,Myrophis platyrhynchus,Myrophis platyrhynchus,Myrophis platyrhynchus
449,Myrophis punctatus,Myrophis punctatus,Serpenton tachet‚
450,Ophichthus sp.,Ophichthus sp.,Ophichthus sp.
451,Ophichthus gomesi,Shrimp eel,Ophichthus gomesi
452,Ophichthus ocellatus,"Eel,palespotted",Ophichthus ocellatus
453,Diaphus bertelseni,Diaphus bertelseni,Diaphus bertelseni
454,Loweina rara,Loweina rara,Loweina rara
455,Synaphobranchidae f.,"Eels, cutthroat (ns)",Anguilles ‚gorg‚es
