"date","zone","tow.number","tow.id","valid","station.type","captain","start.time.logbook","stop.time.logbook","start.time","stop.time","haul.time","liftoff.time","longitude","latitude","longitude.start","longitude.stop","latitude.start","latitude.stop","longitude.start.logbook","longitude.stop.logbook","latitude.start.logbook","latitude.stop.logbook","depth","bottom.temperature","warp","swept.area","swept.area.method","groundfish.sample","water.sample","comment"
"2024-07-11","12F",9,"GP316F",1,"fixed","Ghislain Bourgeois","16:58:29","17:03:29","17:00:41","        ","17:25:20","17:08:39",NA,NA,-6104.5027,-6104.462,4808.0578,4807.9602,-6104.542,-6104.462,4808.1325,4807.9602,195,6.5,525,2493,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-11","12F",10,"GP312F",1,"fixed","Ghislain Bourgeois","18:37:18","18:42:19","18:37:31","        ","19:02:31","18:47:49",NA,NA,-6107.1297,-6106.9992,4804.8191,4804.6679,-6107.136,-6106.999,4804.8265,4804.6679,161,6.79,475,1749,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-11","12F",11,"GP313F",1,"free","Ghislain Bourgeois","20:30:44","20:35:42","20:31:08","        ","20:39:48","20:35:46",NA,NA,-6105.8901,-6106.1299,4758.1077,4758.129,-6105.868,-6106.129,4758.1059,4758.129,45,1.12,125,1984,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-12","12F",1,"GP326F",0,"free","Ghislain Bourgeois","05:27:30","05:32:33","        ","        ","05:35:57","        ",NA,NA,NA,NA,NA,NA,-6104.199,-6104.375,4752.1996,4752.3484,34,1.12,100,NA,"",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-12","12F",2,"GP326FR1",0,"free","Ghislain Bourgeois","06:57:11","07:02:12","        ","        ","07:05:48","        ",NA,NA,NA,NA,NA,NA,-6103.662,-6103.94,4752.4546,4752.4394,34,1.06,100,NA,"",0,NA,"Chalut brisé - accroche et force ~ 2.2 kts"
"2024-07-12","12F",3,"GP315F",0,"free","Ghislain Bourgeois","08:26:26","08:30:54","        ","        ","08:34:19","        ",NA,NA,NA,NA,NA,NA,-6105.889,-6106.126,4752.5784,4752.6077,31,1.19,100,NA,"",0,NA,"Chalut déchiré (belly) - accroche et force ~ 2.2 kts"
"2024-07-12","12F",4,"GP315FR1",1,"fixed","Ghislain Bourgeois","09:34:21","09:39:22","09:34:26","        ","09:42:28","09:39:27",NA,NA,-6106.4302,-6106.7054,4752.7577,4752.7819,-6106.425,-6106.705,4752.7575,4752.7819,31,1.21,100,2874,"model",0,NA,"Accrochages ~ 2.2 kts"
"2024-07-12","12",5,"GP300F",0,"free","Ghislain Bourgeois","10:56:47","10:57:58","        ","        ","11:00:49","        ",NA,NA,NA,NA,NA,NA,-6117.722,-6117.777,4752.4712,4752.4877,23,2.02,75,NA,"",0,NA,"Accroche avant 5 minutes - accrochages~ 2.0 kts"
"2024-07-12","12",6,"GP300FR1",0,"free","Ghislain Bourgeois","11:49:21","11:50:17","        ","        ","","        ",NA,NA,NA,NA,NA,NA,-6118.586,-6118.629,4752.6314,4752.6138,23,1.17,100,NA,"",0,NA,"Accroche avant 5 minutes - accrochages ~ 2.2 kts"
"2024-07-12","12",7,"GP303F",1,"free","Ghislain Bourgeois","12:59:57","13:04:58","12:59:54","        ","13:08:01","13:05:07",NA,NA,-6122.3569,-6122.5992,4757.2175,4757.1318,-6122.359,-6122.599,4757.2168,4757.1318,32,1,100,2200,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-12","12",8,"GP287F",1,"fixed","Ghislain Bourgeois","13:47:17","13:52:18","13:47:14","        ","13:55:31","13:52:27",NA,NA,-6125.6324,-6125.5769,4758.4801,4758.2999,-6125.631,-6125.576,4758.4782,4758.2999,35,1,100,2869,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-12","12",9,"GP290F",1,"free","Ghislain Bourgeois","14:41:49","14:46:50","14:41:52","        ","14:49:57","14:46:54",NA,NA,-6127.5826,-6127.6746,4802.2287,4802.3982,-6127.581,-6127.674,4802.2271,4802.3982,36,0.72,100,2875,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-12","12E",10,"GP295F",1,"fixed","Ghislain Bourgeois","15:24:04","15:29:04","15:23:40","        ","15:33:33","15:29:13",NA,NA,-6124.3853,-6124.2184,4805.5737,4805.7361,-6124.372,-6124.218,4805.5849,4805.7361,51,1.14,150,2452,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-12","12E",11,"GP293F",1,"free","Ghislain Bourgeois","17:00:38","17:05:40","17:01:16","        ","17:27:23","17:07:24",NA,NA,-6125.2608,-6125.4278,4813.5005,4813.6167,-6125.237,-6125.427,4813.4843,4813.6167,199,6.51,525,2217,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-12","12E",12,"GP282F",1,"free","Ghislain Bourgeois","18:34:34","18:39:34","18:34:14","        ","19:01:55","18:43:36",NA,NA,-6136.2398,-6136.4994,4813.4942,4813.5847,-6136.255,-6136.499,4813.5007,4813.5847,175,6.71,525,2596,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-12","12",13,"GP273F",1,"free","Ghislain Bourgeois","20:41:30","20:46:29","20:41:32","        ","20:51:39","20:46:44",NA,NA,-6142.4689,-6142.2485,4806.7806,4806.8839,-6142.47,-6142.248,4806.7799,4806.8839,51,1.47,150,2222,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-13","12E",1,"GP260F",1,"free","Ghislain Bourgeois","05:20:44","05:25:44","05:20:48","        ","05:38:21","05:27:18",NA,NA,-6152.9189,-6152.8278,4814.1346,4814.3121,-6152.92,-6152.827,4814.1323,4814.3121,122,6.33,375,1428,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-13","12E",2,"GP269F",1,"fixed","Ghislain Bourgeois","06:57:52","07:02:53","06:58:07","        ","07:25:51","07:05:57",NA,NA,-6146.7269,-6146.6324,4817.0069,4817.1749,-6146.732,-6146.632,4816.998,4817.1749,185,6.65,525,1617,"model",0,NA,"Force a cause de vase ~ 2.1 kts"
"2024-07-13","12E",3,"GP251F",1,"free","Ghislain Bourgeois","08:52:07","08:57:07","08:52:28","        ","09:08:37","08:57:27",NA,NA,-6156.9814,-6156.7656,4814.8781,4814.7759,-6156.996,-6156.765,4814.8862,4814.7759,108,6.06,325,1348,"model",0,NA,"Force a cause de vase ~ 2.1 kts"
"2024-07-13","12E",4,"GP250F",1,"fixed","Ghislain Bourgeois","10:17:27","10:22:29","10:17:27","        ","10:37:55","10:23:28",NA,NA,-6157.3419,-6157.1423,4816.9886,4816.8503,-6157.341,-6157.142,4816.9886,4816.8503,131,6.51,400,2341,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-13","12E",5,"GP237F",1,"free","Ghislain Bourgeois","12:26:15","12:31:17","12:26:10","        ","12:49:58","12:35:30",NA,NA,-6206.8163,-6206.53,4821.6154,4821.5692,-6206.811,-6206.53,4821.6146,4821.5692,154,6.7,475,1981,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-13","12E",6,"GP235F",1,"free","Ghislain Bourgeois","14:21:02","14:26:03","14:21:20","        ","14:47:46","14:27:48",NA,NA,-6206.6175,-6206.8495,4824.4218,4824.4998,-6206.602,-6206.849,4824.4158,4824.4998,203,6.54,525,2534,"model",0,NA,"Force a cause de vase ~ 2.1 kts"
"2024-07-13","12E",7,"GP334F",1,"free","Ghislain Bourgeois","17:17:16","17:22:16","17:17:50","        ","17:42:22","17:24:54",NA,NA,-6224.7472,-6224.9773,4822.9324,4823.0006,-6224.717,-6224.977,4822.9256,4823.0006,170,6.75,500,2982,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-13","12E",8,"GP187F",1,"free","Ghislain Bourgeois","19:29:03","19:34:04","19:27:18","        ","19:54:30","19:34:54",NA,NA,-6237.8115,-6238.2087,4826.8307,4826.9385,-6237.95,-6238.208,4826.8611,4826.9385,189,6.61,525,3839,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-13","12",9,"GP166F",1,"fixed","Ghislain Bourgeois","20:59:45","21:04:46","20:59:14","        ","21:14:01","21:05:05",NA,NA,-6251.2787,-6251.5811,4825.0351,4825.0838,-6251.308,-6251.593,4825.0421,4825.0867,92,4.64,275,2209,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-14","12E",1,"GP156F",1,"fixed","Ghislain Bourgeois","05:31:59","05:37:00","05:32:05","        ","05:57:45","05:38:58",NA,NA,-6256.3923,-6256.6689,4835.4162,4835.3934,-6256.386,-6256.668,4835.4168,4835.3934,199,6.54,525,3030,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12E",2,"GP142F",1,"free","Ghislain Bourgeois","07:18:26","07:23:25","07:19:21","        ","07:44:48","07:26:38",NA,NA,-6306.5609,-6306.7373,4842.7663,4842.8526,-6306.518,-6306.737,4842.7458,4842.8526,184,6.58,525,1100,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",3,"GP122F",1,"fixed","Ghislain Bourgeois","09:07:36","09:12:37","09:07:34","        ","09:31:29","09:16:29",NA,NA,-6314.8217,-6315.0171,4844.7526,4844.8883,-6314.822,-6315.017,4844.7536,4844.8883,151,6.58,450,2489,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",4,"GP109F",1,"free","Ghislain Bourgeois","10:30:47","10:35:45","10:30:41","        ","10:56:03","10:37:28",NA,NA,-6320.4619,-6320.6622,4850.4205,4850.5562,-6320.465,-6320.662,4850.4229,4850.5562,170,6.68,500,2527,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",5,"GP120F",1,"free","Ghislain Bourgeois","12:27:29","12:32:28","12:28:24","        ","12:54:42","12:33:20",NA,NA,-6314.4482,-6314.4412,4854.5775,4854.727,-6314.449,-6314.441,4854.5441,4854.727,206,6.37,525,2489,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",6,"GP098F",1,"free","Ghislain Bourgeois","15:09:33","15:14:33","15:10:18","        ","15:35:44","15:15:53",NA,NA,-6325.0951,-6325.2098,4856.0811,4856.219,-6325.073,-6325.209,4856.0562,4856.219,190,6.65,525,1799,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",7,"GP081F",1,"free","Ghislain Bourgeois","17:20:33","17:25:33","17:20:58","        ","17:43:56","17:27:40",NA,NA,-6335.4678,-6335.6245,4853.813,4853.9456,-6335.453,-6335.624,4853.8006,4853.9456,165,6.65,500,1424,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",8,"GP085F",1,"fixed","Ghislain Bourgeois","19:06:38","19:11:38","19:06:07","        ","19:27:45","19:14:57",NA,NA,-6333.8548,-6333.9997,4849.8947,4850.0769,-6333.867,-6333.999,4849.9124,4850.0769,133,6.11,400,2514,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-14","12",9,"GP072F",1,"free","Ghislain Bourgeois","21:08:39","21:13:40","21:08:30","        ","21:23:26","21:13:52",NA,NA,-6340.1343,-6340.0786,4844.3251,4844.5201,-6340.129,-6340.075,4844.343,4844.528,83,4.38,250,2621,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-15","12",1,"GP078F",1,"free","Ghislain Bourgeois","05:21:01","05:26:02","05:21:17","        ","05:35:12","05:26:21",NA,NA,-6330.3225,-6330.4269,4838.7098,4838.8709,-6330.315,-6330.426,4838.7004,4838.8709,87,4.86,250,4775,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-15","12",2,"GP107F",1,"free","Ghislain Bourgeois","06:37:31","06:42:29","06:37:18","        ","06:51:32","06:42:37",NA,NA,-6328.578,-6328.5834,4838.0885,4838.2838,-6328.577,-6328.583,4838.0963,4838.2838,86,4.68,250,2587,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-15","12",3,"GP096F",1,"free","Ghislain Bourgeois","08:30:56","08:35:55","08:30:56","        ","08:44:07","08:35:55",NA,NA,-6325.2734,-6325.2475,4834.4645,4834.6584,-6325.273,-6325.247,4834.4645,4834.6584,72,3.76,225,2895,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-15","12",4,"GP121F",0,"free","Ghislain Bourgeois","10:17:59","10:22:58","        ","        ","10:33:52","        ",NA,NA,NA,NA,NA,NA,-6315.588,-6315.551,4837.0011,4837.1926,101,5.01,300,NA,"",0,NA,"Chalut déchiré (belly) - accroche et force ~ 2.2 kts"
"2024-07-15","12",5,"GP121FR1",0,"free","Ghislain Bourgeois","11:27:55","11:32:54","        ","        ","11:44:35","        ",NA,NA,NA,NA,NA,NA,-6316.248,-6316.316,4837.9424,4838.1315,102,5.05,300,NA,"",0,NA,"Chalut brisé - accroche et force ~ 2.2 kts"
"2024-07-15","12",6,"GP134F",1,"free","Ghislain Bourgeois","13:16:50","13:21:53","13:17:14","        ","13:35:19","13:22:16",NA,NA,-6309.028,-6309.1783,4834.2532,4834.3958,-6309.014,-6309.178,4834.2399,4834.3958,119,5.87,350,2147,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2024-07-15","12E",7,"GP203F",1,"fixed","Ghislain Bourgeois","14:44:24","14:49:25","14:44:27","        ","15:03:28","14:50:57",NA,NA,-6307.8791,-6308.0431,4832.3826,4832.2382,-6307.877,-6308.043,4832.3842,4832.2382,120,5.82,350,2794,"average",0,NA,"Force a cause de vase ~ 2.1 kts"
"2024-07-15","12",8,"GP138F",1,"free","Ghislain Bourgeois","16:40:17","16:45:18","16:41:04","        ","16:49:29","16:45:31",NA,NA,-6257.6557,-6257.8058,4823.4219,4823.3066,-6257.627,-6257.805,4823.443,4823.3066,44,1.06,125,3107,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-15","12",9,"GP152F",1,"free","Ghislain Bourgeois","17:45:23","17:50:24","17:45:11","        ","17:54:25","17:50:30",NA,NA,-6258.4253,-6258.5053,4818.5116,4818.6919,-6258.429,-6258.505,4818.5187,4818.6919,43,1.08,125,3239,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-15","12",10,"GP165F",0,"free","Ghislain Bourgeois","18:36:40","18:41:41","18:36:40","        ","18:46:00","18:41:41",NA,NA,NA,NA,NA,NA,-6254.719,-6254.894,4818.9919,4819.1472,42,1.12,150,3144,"average",0,NA,"Chalut déchiré (poche) - accroche et force ~ 2.2 kts"
"2024-07-15","12",11,"GP165FR1",1,"free","Ghislain Bourgeois","19:38:29","19:43:28","19:37:42","        ","19:49:41","19:43:42",NA,NA,-6255.5568,-6255.5822,4818.7212,4818.9302,-6255.559,-6255.582,4818.7507,4818.9302,42,1.16,125,3239,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-16","12",1,"GP153F",1,"free","Ghislain Bourgeois","05:18:01","05:23:02","05:17:50","        ","05:27:26","05:23:11",NA,NA,-6258.1443,-6257.886,4812.3618,4812.4444,-6258.135,-6257.886,4812.3661,4812.4444,40,0.92,125,4111,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-16","12",2,"GP169F",1,"free","Ghislain Bourgeois","06:21:40","06:26:43","06:21:32","        ","06:30:50","06:26:49",NA,NA,-6250.9712,-6250.7111,4810.8056,4810.724,-6250.965,-6250.711,4810.8036,4810.724,41,0.64,125,3023,"average",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-16","12",3,"GP185F",1,"free","Ghislain Bourgeois","07:49:49","07:54:48","07:49:32","        ","08:00:04","07:54:58",NA,NA,-6239.7557,-6239.943,4808.5836,4808.7224,-6239.764,-6239.943,4808.5911,4808.7224,54,2.21,150,2877,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-16","12",4,"GP201F",1,"free","Ghislain Bourgeois","09:01:36","09:06:35","09:01:36","        ","09:10:42","09:06:50",NA,NA,-6232.1726,-6232.3551,4810.2969,4810.4254,-6232.172,-6232.355,4810.2969,4810.4254,39,0.56,127,2274,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-16","12",5,"GP180F",1,"free","Ghislain Bourgeois","10:26:53","10:31:54","10:26:53","        ","10:37:03","10:32:08",NA,NA,-6241.2479,-6240.9762,4811.2592,4811.2344,-6241.247,-6240.976,4811.2592,4811.2344,50,1.74,150,3386,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-16","12",6,"GP181F",1,"free","Ghislain Bourgeois","11:37:29","11:42:28","11:37:25","        ","11:47:12","11:42:36",NA,NA,-6240.549,-6240.6068,4818.3875,4818.5739,-6240.549,-6240.606,4818.3901,4818.5739,49,1.61,150,4109,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-16","12",7,"GP208F",1,"free","Ghislain Bourgeois","13:21:21","13:26:21","13:21:23","        ","13:30:11","13:26:31",NA,NA,-6228.2914,-6228.5063,4817.2346,4817.1174,-6228.289,-6228.506,4817.2357,4817.1174,44,1.34,125,3110,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-16","12",8,"GP207F",1,"free","Ghislain Bourgeois","14:14:14","14:19:13","14:14:15","        ","14:22:23","14:19:20",NA,NA,-6221.9068,-6221.6291,4814.3039,4814.3162,-6221.907,-6221.629,4814.304,4814.3162,37,0.56,100,2955,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-16","12",9,"GP227F",1,"free","Ghislain Bourgeois","15:38:19","15:43:20","15:38:21","        ","15:47:15","15:43:30",NA,NA,-6212.6489,-6212.4345,4810.7287,4810.8394,-6212.65,-6212.434,4810.7279,4810.8394,45,1.51,125,2910,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-16","12",10,"GP230F",1,"free","Ghislain Bourgeois","16:29:05","16:34:03","16:29:24","        ","16:38:37","16:34:07",NA,NA,-6210.8459,-6210.6604,4808.2525,4808.364,-6210.858,-6210.66,4808.2433,4808.364,49,1.67,150,2721,"model",0,NA,"Accrochages ~ 2.2 kts"
"2024-07-16","12",11,"GP249F",0,"free","Ghislain Bourgeois","17:39:45","17:44:45","        ","        ","17:48:42","        ",NA,NA,NA,NA,NA,NA,-6203.635,-6203.386,4807.5453,4807.6346,41,0.76,125,NA,"",0,NA,"Chalut déchiré (aile et belly) - accroche et force ~ 2.1 kts"
"2024-07-16","12",12,"GP249FR1",0,"free","Ghislain Bourgeois","18:37:42","18:40:38","        ","        ","18:45:04","        ",NA,NA,NA,NA,NA,NA,-6204.699,-6204.549,4807.7946,4807.8309,43,1.16,125,NA,"",0,NA,"Accroche avant 5 minutes - accroche et force ~ 2.2 kts"
"2024-07-16","12",13,"GP249FR2",0,"free","Ghislain Bourgeois","19:07:24","19:12:25","        ","        ","19:15:57","        ",NA,NA,NA,NA,NA,NA,-6202.984,-6202.724,4807.3607,4807.4387,41,0.64,125,NA,"",0,NA,"Chalut déchiré (poche) - accroche et force ~ 2.2 kts"
"2024-07-16","12",14,"GP243F",1,"free","Ghislain Bourgeois","20:23:20","20:28:20","20:23:18","        ","20:31:49","20:28:28",NA,NA,-6200.7112,-6200.459,4800.5867,4800.663,-6200.709,-6200.459,4800.5872,4800.663,32,0.59,100,2666,"average",0,NA,"Accroche et force ~ 2.2 kts"
"2024-07-17","12",1,"GP261F",1,"free","Ghislain Bourgeois","05:18:38","05:23:41","05:18:10","        ","05:26:35","05:24:12",NA,NA,-6153.6436,-6153.3881,4802.5836,4802.6848,-6153.619,-6153.388,4802.5929,4802.6848,34,0.6,100,2477,"average",0,NA,"Stable ~ 2.2 kts"
"2024-07-17","12",2,"GP257F",1,"free","Ghislain Bourgeois","06:21:51","06:26:51","06:21:36","        ","06:29:58","06:26:57",NA,NA,-6154.9355,-6154.6775,4759.0274,4759.0985,-6154.921,-6154.677,4759.0304,4759.0985,31,0.76,100,4192,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-17","12",3,"GP278F",1,"free","Ghislain Bourgeois","07:58:24","08:03:23","07:58:05","        ","08:06:27","08:03:28",NA,NA,-6140.5546,-6140.2734,4757.0576,4757.0151,-6140.538,-6140.273,4757.056,4757.0151,31,0.72,100,2629,"model",0,NA,"Stable ~ 2.2 kts"
"2024-07-17","12",4,"GP281F",1,"free","Ghislain Bourgeois","09:04:49","09:09:49","09:04:42","        ","09:13:03","09:09:54",NA,NA,-6144.7414,-6144.4734,4753.8457,4753.8137,-6144.735,-6144.473,4753.8451,4753.8137,31,0.72,100,2520,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-17","12",5,"GP258F",1,"free","Ghislain Bourgeois","10:29:04","10:34:03","10:28:58","        ","10:37:11","10:34:08",NA,NA,-6154.6448,-6154.3848,4752.0096,4751.9648,-6154.639,-6154.384,4752.0092,4751.9648,30,0.8,100,3069,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-17","12",6,"GP247F",1,"free","Ghislain Bourgeois","11:22:55","11:27:56","11:23:04","        ","11:30:26","11:28:02",NA,NA,-6159.2659,-6159.015,4752.0757,4752.0318,-6159.272,-6159.015,4752.0769,4752.0318,29,0.84,75,2302,"model",0,NA,"Stable ~ 2.1 kts"
"2024-07-17","12",7,"GP223F",1,"free","Ghislain Bourgeois","12:55:28","13:00:26","12:55:29","        ","13:03:20","13:00:35",NA,NA,-6211.3911,-6211.1311,4750.3788,4750.3839,-6211.392,-6211.131,4750.3788,4750.3839,32,0.48,100,2629,"average",0,NA,"Stable ~ 2.1 kts"
